"","taxon","kegg_KO","signal_ID","cluster","silhouette_width","neighbor_cluster","signal","name_short","name","pathway","taxon_group","notes"
"939","Chlorarachniophyta","K12751",4168,"Dusk",0.273991744056549,"Night","Chlorarachniophyta_K12751",NA,NA,NA,"eukaryotic",""
"940","Chlorarachniophyta","K10779",296,"Night",0.00697201044563134,"Dusk","Chlorarachniophyta_K10779",NA,NA,NA,"eukaryotic",""
"941","Chlorarachniophyta","K14429",2913,"Morning",0.0328338757809012,"Night","Chlorarachniophyta_K14429",NA,NA,NA,"eukaryotic",""
"942","Chlorarachniophyta","K09567",4148,"Dusk",0.270154931816834,"Afternoon","Chlorarachniophyta_K09567",NA,NA,NA,"eukaryotic",""
"943","Chlorarachniophyta","K08991",2900,"Morning",0.261886679002405,"Afternoon","Chlorarachniophyta_K08991",NA,NA,NA,"eukaryotic",""
"944","Chlorarachniophyta","K01138",2898,"Morning",0.0312907316388552,"Night","Chlorarachniophyta_K01138","K01138"," uncharacterized sulfatase [EC:3.1.6.-]","[]","eukaryotic",""
"945","Chlorarachniophyta","K00323",4153,"Dusk",0.36651921989678,"Afternoon","Chlorarachniophyta_K00323",NA,NA,NA,"eukaryotic",""
"946","Chlorarachniophyta","K15423",310,"Night",0.114732600446701,"Dusk","Chlorarachniophyta_K15423",NA,NA,NA,"eukaryotic",""
"947","Chlorarachniophyta","K01950",1635,"Afternoon",0.121518732402143,"Dusk","Chlorarachniophyta_K01950",NA,NA,NA,"eukaryotic",""
"948","Chlorarachniophyta","K02193",315,"Night",0.0921692774285979,"Morning","Chlorarachniophyta_K02193","ccmA"," heme exporter protein A [EC:3.6.3.41]","Transport","eukaryotic",""
"949","Chlorarachniophyta","K08833",330,"Night",0.161238257531647,"Morning","Chlorarachniophyta_K08833",NA,NA,NA,"eukaryotic",""
"950","Chlorarachniophyta","K02908",4155,"Dusk",0.161328770518176,"Night","Chlorarachniophyta_K02908",NA,NA,NA,"eukaryotic",""
"951","Chlorarachniophyta","K08287",1633,"Afternoon",0.146567201175451,"Morning","Chlorarachniophyta_K08287",NA,NA,NA,"eukaryotic",""
"952","Chlorarachniophyta","K05743",4170,"Dusk",0.247308550480868,"Afternoon","Chlorarachniophyta_K05743",NA,NA,NA,"eukaryotic",""
"953","Chlorarachniophyta","K04464",322,"Night",0.0502405492743699,"Morning","Chlorarachniophyta_K04464",NA,NA,NA,"eukaryotic",""
"954","Chlorarachniophyta","K07375",4140,"Dusk",0.348639200638824,"Afternoon","Chlorarachniophyta_K07375","TUBB"," tubulin beta","Phagosome","eukaryotic",""
"955","Chlorarachniophyta","K00326",2903,"Morning",0.149382372144334,"Night","Chlorarachniophyta_K00326",NA,NA,NA,"eukaryotic",""
"956","Chlorarachniophyta","K15498",312,"Night",0.137803300736946,"Dusk","Chlorarachniophyta_K15498",NA,NA,NA,"eukaryotic",""
"957","Chlorarachniophyta","K04468",2906,"Morning",0.145448730347309,"Night","Chlorarachniophyta_K04468",NA,NA,NA,"eukaryotic",""
"958","Chlorarachniophyta","K05674",2895,"Morning",0.124487722133142,"Afternoon","Chlorarachniophyta_K05674",NA,NA,NA,"eukaryotic",""
"959","Chlorarachniophyta","K00924",314,"Night",0.130771540419929,"Dusk","Chlorarachniophyta_K00924",NA,NA,NA,"eukaryotic",""
"960","Chlorarachniophyta","K07374",4152,"Dusk",0.369359445366973,"Night","Chlorarachniophyta_K07374","TUBA"," tubulin alpha","Phagosome","eukaryotic",""
"961","Chlorarachniophyta","K01338",302,"Night",0.0177231288919188,"Morning","Chlorarachniophyta_K01338","lon"," ATP-dependent Lon protease [EC:3.4.21.53]","Cell cycle","eukaryotic",""
"962","Chlorarachniophyta","K10875",297,"Night",0.0182409699352499,"Dusk","Chlorarachniophyta_K10875",NA,NA,NA,"eukaryotic",""
"963","Chlorarachniophyta","K17615",313,"Night",0.137803300736946,"Dusk","Chlorarachniophyta_K17615",NA,NA,NA,"eukaryotic",""
"964","Chlorarachniophyta","K01487",4157,"Dusk",0.308378576263382,"Night","Chlorarachniophyta_K01487",NA,NA,NA,"eukaryotic",""
"965","Chlorarachniophyta","K12608",316,"Night",0.0724080591696352,"Morning","Chlorarachniophyta_K12608",NA,NA,NA,"eukaryotic",""
"966","Chlorarachniophyta","K05667",2901,"Morning",0.169338316438824,"Afternoon","Chlorarachniophyta_K05667",NA,NA,NA,"eukaryotic",""
"967","Chlorarachniophyta","K14512",2907,"Morning",0.176816825251758,"Night","Chlorarachniophyta_K14512",NA,NA,NA,"eukaryotic",""
"968","Chlorarachniophyta","K06269",309,"Night",0.182263470498587,"Dusk","Chlorarachniophyta_K06269",NA,NA,NA,"eukaryotic",""
"969","Chlorarachniophyta","K03320",1634,"Afternoon",0.0302166570157601,"Morning","Chlorarachniophyta_K03320","amt, AMT, MEP"," ammonium transporter, Amt family","Transport","eukaryotic",""
"970","Chlorarachniophyta","K04406",327,"Night",0.161238257531647,"Morning","Chlorarachniophyta_K04406",NA,NA,NA,"eukaryotic",""
"971","Chlorarachniophyta","K04646",2894,"Morning",0.090190267402123,"Night","Chlorarachniophyta_K04646",NA,NA,NA,"eukaryotic",""
"972","Chlorarachniophyta","K10598",4149,"Dusk",0.257474029753494,"Afternoon","Chlorarachniophyta_K10598",NA,NA,NA,"eukaryotic",""
"973","Chlorarachniophyta","K04075",4159,"Dusk",0.308378576263382,"Night","Chlorarachniophyta_K04075","tilS, mesJ"," tRNA(Ile)-lysidine synthase [EC:6.3.4.19]","[]","eukaryotic",""
"974","Chlorarachniophyta","K09565",4146,"Dusk",0.188295632720078,"Afternoon","Chlorarachniophyta_K09565",NA,NA,NA,"eukaryotic",""
"975","Chlorarachniophyta","K05864",4143,"Dusk",0.266911326351886,"Afternoon","Chlorarachniophyta_K05864",NA,NA,NA,"eukaryotic",""
"976","Chlorarachniophyta","K12736",4151,"Dusk",0.218558304605467,"Afternoon","Chlorarachniophyta_K12736",NA,NA,NA,"eukaryotic",""
"977","Chlorarachniophyta","K02013",299,"Night",0.0518268912990548,"Morning","Chlorarachniophyta_K02013",NA,NA,NA,"eukaryotic",""
"978","Chlorarachniophyta","K12836",1637,"Afternoon",0.0306857240620919,"Morning","Chlorarachniophyta_K12836",NA,NA,NA,"eukaryotic",""
"979","Chlorarachniophyta","K04371",305,"Night",0.125733574156475,"Morning","Chlorarachniophyta_K04371",NA,NA,NA,"eukaryotic",""
"980","Chlorarachniophyta","K07021",325,"Night",0.219985248685534,"Morning","Chlorarachniophyta_K07021",NA,NA,NA,"eukaryotic",""
"981","Chlorarachniophyta","K03087",324,"Night",0.219985248685534,"Morning","Chlorarachniophyta_K03087","rpoS"," RNA polymerase nonessential primary-like sigma factor","[]","eukaryotic",""
"982","Chlorarachniophyta","K03086",323,"Night",0.219985248685534,"Morning","Chlorarachniophyta_K03086","rpoD"," RNA polymerase primary sigma factor","[]","eukaryotic",""
"983","Chlorarachniophyta","K11653",4156,"Dusk",0.0954190155752986,"Night","Chlorarachniophyta_K11653",NA,NA,NA,"eukaryotic",""
"984","Chlorarachniophyta","K14569",321,"Night",-0.00666511015453077,"Dusk","Chlorarachniophyta_K14569",NA,NA,NA,"eukaryotic",""
"985","Chlorarachniophyta","K12738",4150,"Dusk",0.230086152176181,"Afternoon","Chlorarachniophyta_K12738",NA,NA,NA,"eukaryotic",""
"986","Chlorarachniophyta","K04424",4169,"Dusk",0.247308550480868,"Afternoon","Chlorarachniophyta_K04424",NA,NA,NA,"eukaryotic",""
"987","Chlorarachniophyta","K07872",4166,"Dusk",0.10462614402675,"Afternoon","Chlorarachniophyta_K07872",NA,NA,NA,"eukaryotic",""
"988","Chlorarachniophyta","K02865",2914,"Morning",0.158363302428017,"Night","Chlorarachniophyta_K02865",NA,NA,NA,"eukaryotic",""
"989","Chlorarachniophyta","K04393",4162,"Dusk",0.10462614402675,"Afternoon","Chlorarachniophyta_K04393",NA,NA,NA,"eukaryotic",""
"990","Chloroflexi","K13993",2492,"Afternoon",0.159044912604537,"Dusk","Chloroflexi_K13993","HSP20"," HSP20 family protein","Protein processing in endoplasmic reticulum","prokaryotic_non_photoauto","Green Non-sulfur Bacteria"
"991","Chloroflexi","K02030",3677,"Morning",0.0911029096310266,"Afternoon","Chloroflexi_K02030","ABC.PA.S"," polar amino acid transport system substrate-binding protein","Transport","prokaryotic_non_photoauto","Green Non-sulfur Bacteria"
"992","Chloroflexi","K10232",1235,"Night",0.0938285274401304,"Morning","Chloroflexi_K10232","aglE, ggtB"," alpha-glucoside transport system substrate-binding protein","Transport","prokaryotic_non_photoauto","Green Non-sulfur Bacteria"
"993","Chlorophyta","K00134",1641,"Afternoon",0.0843082693114005,"Morning","Chlorophyta_K00134","GAPDH, gapA"," glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Glycolysis / Gluconeogenesis","eukaryotic",""
"994","Chlorophyta","K12852",4201,"Dusk",0.0678891281249466,"Night","Chlorophyta_K12852",NA,NA,NA,"eukaryotic",""
"995","Chlorophyta","K05649",356,"Night",0.134623376094629,"Morning","Chlorophyta_K05649",NA,NA,NA,"eukaryotic",""
"996","Chlorophyta","K11319",1662,"Afternoon",0.211383509144575,"Morning","Chlorophyta_K11319",NA,NA,NA,"eukaryotic",""
"997","Chlorophyta","K01428",4223,"Dusk",0.265482314153413,"Night","Chlorophyta_K01428","ureC"," urease subunit alpha [EC:3.5.1.5]","Arginine biosynthesis","eukaryotic",""
"998","Chlorophyta","K00522",2941,"Morning",0.0341788460758391,"Night","Chlorophyta_K00522",NA,NA,NA,"eukaryotic",""
"999","Chlorophyta","K02115",2947,"Morning",0.0974234193701304,"Night","Chlorophyta_K02115","ATPF1G, atpG"," F-type H+-transporting ATPase subunit gamma","Oxidative phosphorylation","eukaryotic",""
"1000","Chlorophyta","K02899",362,"Night",0.164583822912619,"Morning","Chlorophyta_K02899","RP-L27, MRPL27, rpmA"," large subunit ribosomal protein L27","Ribosome","eukaryotic",""
"1001","Chlorophyta","K00986",1661,"Afternoon",0.296236034894415,"Dusk","Chlorophyta_K00986","ltrA"," RNA-directed DNA polymerase [EC:2.7.7.49]","[]","eukaryotic",""
"1002","Chlorophyta","K05651",357,"Night",0.15471600709055,"Morning","Chlorophyta_K05651",NA,NA,NA,"eukaryotic",""
"1003","Chlorophyta","K14805",348,"Night",0.18463725278181,"Dusk","Chlorophyta_K14805",NA,NA,NA,"eukaryotic",""
"1004","Chlorophyta","K01637",2931,"Morning",0.0797415226559086,"Night","Chlorophyta_K01637","E4.1.3.1, aceA"," isocitrate lyase [EC:4.1.3.1]","Glyoxylate and dicarboxylate metabolism","eukaryotic",""
"1005","Chlorophyta","K02183",4182,"Dusk",0.337266466493722,"Afternoon","Chlorophyta_K02183","CALM"," calmodulin","[]","eukaryotic",""
"1006","Chlorophyta","K00039",467,"Night",0.0894103881793153,"Dusk","Chlorophyta_K00039",NA,NA,NA,"eukaryotic",""
"1007","Chlorophyta","K12751",4241,"Dusk",0.239883237931075,"Afternoon","Chlorophyta_K12751",NA,NA,NA,"eukaryotic",""
"1008","Chlorophyta","K03188",4239,"Dusk",0.0668945383724656,"Night","Chlorophyta_K03188",NA,NA,NA,"eukaryotic",""
"1009","Chlorophyta","K12571",4188,"Dusk",0.0990477545832244,"Night","Chlorophyta_K12571",NA,NA,NA,"eukaryotic",""
"1010","Chlorophyta","K02078",424,"Night",0.073696020717312,"Morning","Chlorophyta_K02078","acpP"," acyl carrier protein","[]","eukaryotic",""
"1011","Chlorophyta","K06207",344,"Night",-0.00356505494316101,"Morning","Chlorophyta_K06207","typA, bipA"," GTP-binding protein","[]","eukaryotic",""
"1012","Chlorophyta","K15175",4219,"Dusk",0.283177024818087,"Night","Chlorophyta_K15175",NA,NA,NA,"eukaryotic",""
"1013","Chlorophyta","K15260",4187,"Dusk",0.243693979497567,"Afternoon","Chlorophyta_K15260",NA,NA,NA,"eukaryotic",""
"1014","Chlorophyta","K09566",4198,"Dusk",0.351543773804955,"Afternoon","Chlorophyta_K09566",NA,NA,NA,"eukaryotic",""
"1015","Chlorophyta","K02564",2965,"Morning",0.0803709671219481,"Night","Chlorophyta_K02564","nagB, GNPDA"," glucosamine-6-phosphate deaminase [EC:3.5.99.6]","Amino sugar and nucleotide sugar metabolism","eukaryotic",""
"1016","Chlorophyta","K01881",358,"Night",0.097432681000579,"Morning","Chlorophyta_K01881","PARS, proS"," prolyl-tRNA synthetase [EC:6.1.1.15]","Aminoacyl-tRNA biosynthesis","eukaryotic",""
"1017","Chlorophyta","K09564",4186,"Dusk",0.377601386078258,"Afternoon","Chlorophyta_K09564",NA,NA,NA,"eukaryotic",""
"1018","Chlorophyta","K01250",469,"Night",-0.0288046442927976,"Morning","Chlorophyta_K01250",NA,NA,NA,"eukaryotic",""
"1019","Chlorophyta","K09705",456,"Night",0.227826828839165,"Dusk","Chlorophyta_K09705",NA,NA,NA,"eukaryotic",""
"1020","Chlorophyta","K12614",4211,"Dusk",0.317797398419786,"Afternoon","Chlorophyta_K12614",NA,NA,NA,"eukaryotic",""
"1021","Chlorophyta","K07968",4256,"Dusk",0.291352091785879,"Afternoon","Chlorophyta_K07968",NA,NA,NA,"eukaryotic",""
"1022","Chlorophyta","K10325",388,"Night",-0.0311513185369939,"Dusk","Chlorophyta_K10325",NA,NA,NA,"eukaryotic",""
"1023","Chlorophyta","K12429",4244,"Dusk",0.0710004617950814,"Afternoon","Chlorophyta_K12429",NA,NA,NA,"eukaryotic",""
"1024","Chlorophyta","K01275",339,"Night",-0.000766659844475079,"Dusk","Chlorophyta_K01275",NA,NA,NA,"eukaryotic",""
"1025","Chlorophyta","K02641",2948,"Morning",0.290263125622914,"Night","Chlorophyta_K02641","petH"," ferredoxin--NADP+ reductase [EC:1.18.1.2]","Photosynthesis","eukaryotic",""
"1026","Chlorophyta","K10575",412,"Night",0.000829009916206916,"Morning","Chlorophyta_K10575",NA,NA,NA,"eukaryotic",""
"1027","Chlorophyta","K07297",4173,"Dusk",0.176346914347622,"Night","Chlorophyta_K07297",NA,NA,NA,"eukaryotic",""
"1028","Chlorophyta","K03514",414,"Night",0.210689514703333,"Dusk","Chlorophyta_K03514",NA,NA,NA,"eukaryotic",""
"1029","Chlorophyta","K07497",2937,"Morning",0.142002910630525,"Afternoon","Chlorophyta_K07497","K07497"," putative transposase","[]","eukaryotic",""
"1030","Chlorophyta","K02940",4172,"Dusk",0.336749154166932,"Night","Chlorophyta_K02940",NA,NA,NA,"eukaryotic",""
"1031","Chlorophyta","K03362",408,"Night",0.150313692618682,"Dusk","Chlorophyta_K03362",NA,NA,NA,"eukaryotic",""
"1032","Chlorophyta","K14416",4216,"Dusk",0.171014538954089,"Afternoon","Chlorophyta_K14416",NA,NA,NA,"eukaryotic",""
"1033","Chlorophyta","K11928",1665,"Afternoon",0.155775333971892,"Morning","Chlorophyta_K11928","putP"," sodium/proline symporter","Transport","eukaryotic",""
"1034","Chlorophyta","K00958",2928,"Morning",0.245694137226001,"Night","Chlorophyta_K00958","sat, met3"," sulfate adenylyltransferase [EC:2.7.7.4]","Purine metabolism","eukaryotic",""
"1035","Chlorophyta","K00573",2915,"Morning",0.188892516230955,"Night","Chlorophyta_K00573",NA,NA,NA,"eukaryotic",""
"1036","Chlorophyta","K02716",2925,"Morning",0.0520366572590716,"Afternoon","Chlorophyta_K02716","psbO"," photosystem II oxygen-evolving enhancer protein 1","Photosynthesis","eukaryotic",""
"1037","Chlorophyta","K00225",399,"Night",0.0715747766922433,"Morning","Chlorophyta_K00225",NA,NA,NA,"eukaryotic",""
"1038","Chlorophyta","K03190",426,"Night",-0.025395540034536,"Dusk","Chlorophyta_K03190",NA,NA,NA,"eukaryotic",""
"1039","Chlorophyta","K06213",437,"Night",0.166307837854237,"Morning","Chlorophyta_K06213","mgtE"," magnesium transporter","Transport","eukaryotic",""
"1040","Chlorophyta","K01902",4214,"Dusk",0.30497723511399,"Night","Chlorophyta_K01902","sucD"," succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]","Citrate cycle (TCA cycle)","eukaryotic",""
"1041","Chlorophyta","K00855",2946,"Morning",0.269756131640114,"Night","Chlorophyta_K00855","PRK, prkB"," phosphoribulokinase [EC:2.7.1.19]","Carbon fixation in photosynthetic organisms","eukaryotic",""
"1042","Chlorophyta","K02133",4183,"Dusk",0.0862800000265337,"Night","Chlorophyta_K02133",NA,NA,NA,"eukaryotic",""
"1043","Chlorophyta","K11092",4238,"Dusk",0.114051938054201,"Night","Chlorophyta_K11092",NA,NA,NA,"eukaryotic",""
"1044","Chlorophyta","K03403",1643,"Afternoon",0.0823822530622278,"Morning","Chlorophyta_K03403","chlH, bchH"," magnesium chelatase subunit H [EC:6.6.1.1]","Porphyrin and chlorophyll metabolism","eukaryotic",""
"1045","Chlorophyta","K02639",2924,"Morning",0.168197173603697,"Night","Chlorophyta_K02639","petF"," ferredoxin","Photosynthesis","eukaryotic",""
"1046","Chlorophyta","K03185",416,"Night",-0.00465070371820653,"Morning","Chlorophyta_K03185","ubiH"," 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]","Ubiquinone and other terpenoid-quinone biosynthesis","eukaryotic",""
"1047","Chlorophyta","K15659",411,"Night",0.218028499349057,"Morning","Chlorophyta_K15659",NA,NA,NA,"eukaryotic",""
"1048","Chlorophyta","K01465",4237,"Dusk",0.0666378012509916,"Night","Chlorophyta_K01465","URA4, pyrC"," dihydroorotase [EC:3.5.2.3]","Pyrimidine metabolism","eukaryotic",""
"1049","Chlorophyta","K15174",2943,"Morning",0.197629514572722,"Night","Chlorophyta_K15174",NA,NA,NA,"eukaryotic",""
"1050","Chlorophyta","K11293",368,"Night",0.175601399648994,"Morning","Chlorophyta_K11293",NA,NA,NA,"eukaryotic",""
"1051","Chlorophyta","K09565",4180,"Dusk",0.369516185048087,"Afternoon","Chlorophyta_K09565",NA,NA,NA,"eukaryotic",""
"1052","Chlorophyta","K12621",433,"Night",-0.010785983941842,"Dusk","Chlorophyta_K12621",NA,NA,NA,"eukaryotic",""
"1053","Chlorophyta","K01953",350,"Night",0.229542196106837,"Morning","Chlorophyta_K01953","asnB, ASNS"," asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]","Alanine, aspartate and glutamate metabolism","eukaryotic",""
"1054","Chlorophyta","K01624",2932,"Morning",0.29195416091051,"Night","Chlorophyta_K01624","FBA, fbaA"," fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","Glycolysis / Gluconeogenesis","eukaryotic",""
"1055","Chlorophyta","K02987",4227,"Dusk",0.184517034297168,"Night","Chlorophyta_K02987","RP-S4e, RPS4"," small subunit ribosomal protein S4e","Ribosome","eukaryotic",""
"1056","Chlorophyta","K17679",379,"Night",0.216405062464028,"Morning","Chlorophyta_K17679",NA,NA,NA,"eukaryotic",""
"1057","Chlorophyta","K09649",1655,"Afternoon",0.245881254765221,"Dusk","Chlorophyta_K09649",NA,NA,NA,"eukaryotic",""
"1058","Chlorophyta","K15676",432,"Night",0.0519043570096786,"Morning","Chlorophyta_K15676",NA,NA,NA,"eukaryotic",""
"1059","Chlorophyta","K06222",2945,"Morning",0.0909259554943205,"Night","Chlorophyta_K06222",NA,NA,NA,"eukaryotic",""
"1060","Chlorophyta","K01365",4194,"Dusk",0.254016199482917,"Night","Chlorophyta_K01365",NA,NA,NA,"eukaryotic",""
"1061","Chlorophyta","K11984",380,"Night",0.0780955729728264,"Dusk","Chlorophyta_K11984",NA,NA,NA,"eukaryotic",""
"1062","Chlorophyta","K12743",2972,"Morning",0.160896657083139,"Afternoon","Chlorophyta_K12743",NA,NA,NA,"eukaryotic",""
"1063","Chlorophyta","K14801",4235,"Dusk",0.147591263820449,"Night","Chlorophyta_K14801",NA,NA,NA,"eukaryotic",""
"1064","Chlorophyta","K00235",1644,"Afternoon",0.177241162250362,"Dusk","Chlorophyta_K00235",NA,NA,NA,"eukaryotic",""
"1065","Chlorophyta","K03267",4191,"Dusk",0.253233603195917,"Afternoon","Chlorophyta_K03267",NA,NA,NA,"eukaryotic",""
"1066","Chlorophyta","K01126",377,"Night",0.0796052993567073,"Morning","Chlorophyta_K01126",NA,NA,NA,"eukaryotic",""
"1067","Chlorophyta","K14729",2973,"Morning",0.0866530187363135,"Night","Chlorophyta_K14729",NA,NA,NA,"eukaryotic",""
"1068","Chlorophyta","K11354",4255,"Dusk",0.0914113372083451,"Afternoon","Chlorophyta_K11354","cph1"," two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]","Two-component system","eukaryotic",""
"1069","Chlorophyta","K11373",4221,"Dusk",0.370073005000972,"Afternoon","Chlorophyta_K11373",NA,NA,NA,"eukaryotic",""
"1070","Chlorophyta","K07374",4184,"Dusk",0.305168708509332,"Night","Chlorophyta_K07374","TUBA"," tubulin alpha","Phagosome","eukaryotic",""
"1071","Chlorophyta","K00559",384,"Night",0.145452429942802,"Morning","Chlorophyta_K00559",NA,NA,NA,"eukaryotic",""
"1072","Chlorophyta","K00932",4257,"Dusk",0.09585241938503,"Night","Chlorophyta_K00932",NA,NA,NA,"eukaryotic",""
"1073","Chlorophyta","K07567",4236,"Dusk",0.0773648762023841,"Night","Chlorophyta_K07567",NA,NA,NA,"eukaryotic",""
"1074","Chlorophyta","K01307",4243,"Dusk",0.0570742114156025,"Night","Chlorophyta_K01307",NA,NA,NA,"eukaryotic",""
"1075","Chlorophyta","K08131",2970,"Morning",0.179189107734222,"Afternoon","Chlorophyta_K08131",NA,NA,NA,"eukaryotic",""
"1076","Chlorophyta","K11251",4176,"Dusk",0.324789427491456,"Night","Chlorophyta_K11251",NA,NA,NA,"eukaryotic",""
"1077","Chlorophyta","K02637",1658,"Afternoon",0.228581039513068,"Dusk","Chlorophyta_K02637","petD"," cytochrome b6-f complex subunit 4","Photosynthesis","eukaryotic",""
"1078","Chlorophyta","K17225",4215,"Dusk",0.162051962790362,"Night","Chlorophyta_K17225","soxC"," sulfane dehydrogenase subunit SoxC","Sulfur metabolism","eukaryotic",""
"1079","Chlorophyta","K12814",345,"Night",0.112395137711129,"Morning","Chlorophyta_K12814",NA,NA,NA,"eukaryotic",""
"1080","Chlorophyta","K13096",2966,"Morning",0.128770887935061,"Night","Chlorophyta_K13096",NA,NA,NA,"eukaryotic",""
"1081","Chlorophyta","K00962",2935,"Morning",0.0424749600419044,"Night","Chlorophyta_K00962","pnp, PNPT1"," polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]","Purine metabolism","eukaryotic",""
"1082","Chlorophyta","K11424",352,"Night",0.156053126967985,"Morning","Chlorophyta_K11424",NA,NA,NA,"eukaryotic",""
"1083","Chlorophyta","K00805",445,"Night",0.0490510947030644,"Dusk","Chlorophyta_K00805",NA,NA,NA,"eukaryotic",""
"1084","Chlorophyta","K02293",2933,"Morning",0.139481525214835,"Night","Chlorophyta_K02293","PDS, crtP"," 15-cis-phytoene desaturase [EC:1.3.5.5]","Carotenoid biosynthesis","eukaryotic",""
"1085","Chlorophyta","K02136",418,"Night",0.172193649261809,"Morning","Chlorophyta_K02136",NA,NA,NA,"eukaryotic",""
"1086","Chlorophyta","K03087",385,"Night",0.254373257467369,"Morning","Chlorophyta_K03087","rpoS"," RNA polymerase nonessential primary-like sigma factor","[]","eukaryotic",""
"1087","Chlorophyta","K03940",398,"Night",0.0129561988581962,"Dusk","Chlorophyta_K03940",NA,NA,NA,"eukaryotic",""
"1088","Chlorophyta","K07669",471,"Night",-0.0440797106731716,"Dusk","Chlorophyta_K07669",NA,NA,NA,"eukaryotic",""
"1089","Chlorophyta","K11271",436,"Night",0.190165626597515,"Morning","Chlorophyta_K11271",NA,NA,NA,"eukaryotic",""
"1090","Chlorophyta","K10250",2975,"Morning",0.315702841894669,"Night","Chlorophyta_K10250",NA,NA,NA,"eukaryotic",""
"1091","Chlorophyta","K07479",4252,"Dusk",0.230217399998781,"Night","Chlorophyta_K07479",NA,NA,NA,"eukaryotic",""
"1092","Chlorophyta","K03534",472,"Night",0.0704068200415714,"Morning","Chlorophyta_K03534","rhaM"," L-rhamnose mutarotase [EC:5.1.3.32]","[]","eukaryotic",""
"1093","Chlorophyta","K11344",458,"Night",0.184024998648601,"Morning","Chlorophyta_K11344",NA,NA,NA,"eukaryotic",""
"1094","Chlorophyta","K06969",434,"Night",0.0856145341134702,"Morning","Chlorophyta_K06969",NA,NA,NA,"eukaryotic",""
"1095","Chlorophyta","K00863",2955,"Morning",0.0471113039157104,"Night","Chlorophyta_K00863",NA,NA,NA,"eukaryotic",""
"1096","Chlorophyta","K02703",1648,"Afternoon",0.305329415213769,"Morning","Chlorophyta_K02703","psbA"," photosystem II P680 reaction center D1 protein [EC:1.10.3.9]","Photosynthesis","eukaryotic",""
"1097","Chlorophyta","K10255",386,"Night",0.125569559910641,"Morning","Chlorophyta_K10255","FAD6, desA"," acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]","Two-component system","eukaryotic",""
"1098","Chlorophyta","K14589",2954,"Morning",0.0806963299445077,"Night","Chlorophyta_K14589",NA,NA,NA,"eukaryotic",""
"1099","Chlorophyta","K14172",2923,"Morning",0.293313408927126,"Afternoon","Chlorophyta_K14172",NA,NA,NA,"eukaryotic",""
"1100","Chlorophyta","K01682",4200,"Dusk",0.279636014302556,"Afternoon","Chlorophyta_K01682","acnB"," aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Citrate cycle (TCA cycle)","eukaryotic",""
"1101","Chlorophyta","K03773",4218,"Dusk",0.217063837530791,"Afternoon","Chlorophyta_K03773","fklB"," FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]","[]","eukaryotic",""
"1102","Chlorophyta","K09013",443,"Night",0.0275705288194728,"Dusk","Chlorophyta_K09013","sufC"," Fe-S cluster assembly ATP-binding protein","[]","eukaryotic",""
"1103","Chlorophyta","K13103",338,"Night",0.219995904149671,"Dusk","Chlorophyta_K13103",NA,NA,NA,"eukaryotic",""
"1104","Chlorophyta","K06106",1659,"Afternoon",0.0108209120657582,"Dusk","Chlorophyta_K06106",NA,NA,NA,"eukaryotic",""
"1105","Chlorophyta","K00472",370,"Night",0.0521477822231697,"Dusk","Chlorophyta_K00472","P4HA"," prolyl 4-hydroxylase [EC:1.14.11.2]","Arginine and proline metabolism","eukaryotic",""
"1106","Chlorophyta","K09567",4199,"Dusk",0.366378259204979,"Afternoon","Chlorophyta_K09567",NA,NA,NA,"eukaryotic",""
"1107","Chlorophyta","K01366",4195,"Dusk",0.279710427543192,"Night","Chlorophyta_K01366",NA,NA,NA,"eukaryotic",""
"1108","Chlorophyta","K16280",431,"Night",0.200099765875379,"Dusk","Chlorophyta_K16280",NA,NA,NA,"eukaryotic",""
"1109","Chlorophyta","K16290",4197,"Dusk",0.302131327101112,"Night","Chlorophyta_K16290",NA,NA,NA,"eukaryotic",""
"1110","Chlorophyta","K00380",359,"Night",0.101284173312981,"Morning","Chlorophyta_K00380","cysJ"," sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]","Sulfur metabolism","eukaryotic",""
"1111","Chlorophyta","K12116",2940,"Morning",0.17253249232093,"Night","Chlorophyta_K12116",NA,NA,NA,"eukaryotic",""
"1112","Chlorophyta","K08070",1653,"Afternoon",0.117188488408954,"Morning","Chlorophyta_K08070",NA,NA,NA,"eukaryotic",""
"1113","Chlorophyta","K08311",393,"Night",0.11787477745416,"Dusk","Chlorophyta_K08311","nudH"," putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]","RNA degradation","eukaryotic",""
"1114","Chlorophyta","K14299",2977,"Morning",0.13897474854043,"Night","Chlorophyta_K14299",NA,NA,NA,"eukaryotic",""
